Time [hours],Lum [cps],Line #,Normalized Lum Data [cps/gFW]
48,6023,#27,87927.00729927007
48,7178,#8,22715.189873417723
48,5807,#8,29779.48717948718
48,5224,#8,26517.76649746193
48,3904,#8,13992.831541218637
0,12946,37,384154.3026706231
0,8642,37,166833.97683397683
0,28006,37,5459259.259259259
0,19856,37,241557.1776155718
0,28718,37,6773113.208
2,12547,37,372314.5400593472
2,8619,37,166389.9613899614
2,3199,37,623586.7446393762
2,27645,37,336313.8686131387
2,3207,37,756367.9245283019
4,6457,37,191602.37388724036
4,3976,37,76756.75675675676
4,1091,37,212670.56530214424
4,11673,37,142007.2993
4,1138,37,268396.22641509434
6,0,37,0
6,0,37,0
6,0,37,0
6,0,37,0
6,0,37,0
8,2313,37,68635.01483679525
8,1821,37,35154.440154440155
8,278,37,54191.03313840156
8,3894,37,47372.26277372263
8,324,37,76415.09433962265
10,2485,37,73738.87240356083
10,1978,37,38185.32818532819
10,500,37,97465.88693957115
10,3704,37,45060.82725060827
10,445,37,104952.83018867925
12,2210,37,65578.63501
12,1848,37,35675.67567567567
12,476,37,92787.52436647174
12,3335,37,40571.776155717766
12,397,37,93632.07547169812
14,11122,37,330029.67359050445
14,3067,37,59208.49420849421
14,1785,37,347953.2164
14,7759,37,94391.72749391728
14,2921,37,688915.0943396227
16,19116,37,567240.3561
16,2965,37,57239.38223938224
16,5327,37,1038401.559454191
16,13109,37,159476.88564476886
16,9511,37,2243160.3773584906
18,25433,37,754688.4272997032
18,6610,37,127606.1776061776
18,11840,37,2307992.202729045
18,24401,37,296849.1484184915
18,15385,37,3628537.735849057
20,29354,37,871038.5756676558
20,7165,37,138320.4633204633
20,13419,37,2615789.4736842103
20,31452,37,382627.7372262774
20,15551,37,3667688.6792452834
22,32093,37,952314.5400593472
22,9056,37,174826.25482625482
22,12508,37,2438206.627680312
22,38410,37,467274.9391727494
22,13467,37,3176179.245283019
24,32848,37,974718.1008902077
24,9911,37,191332.04633204633
24,11400,37,2222222.222222222
24,42393,37,515729.9270072993
24,11816,37,2786792.452830189
26,25204,37,747893.1751
26,4922,37,95019.30501930501
26,6620,37,1290448.343079922
26,33708,37,410072.9927007299
26,6310,37,1488207.5471698113
28,25789,37,765252.2255192879
28,8156,37,157451.73745173746
28,5870,37,1144249.5126705654
28,36565,37,444829.68369829684
28,5723,37,1349764.1509433964
30,17664,37,524154.3026706231
30,7883,37,152181.4671814672
30,4351,37,848148.1481481482
30,26165,37,318309.00243309006
30,4053,37,955896.2264150943
32,0,37,0
32,0,37,0
32,0,37,0
32,0,37,0
32,0,37,0
34,0,37,0
34,0,37,0
34,0,37,0
34,0,37,0
34,0,37,0
36,4748,37,140890.20771513353
36,2118,37,40888.03088803089
36,700,37,136452.2417153996
36,5680,37,69099.75669099757
36,811,37,191273.5849056604
38,6451,37,191424.33234421365
38,3732,37,72046.33204633204
38,1372,37,267446.39376218326
38,7359,37,89525.54744525548
38,1472,37,347169.81132075476
40,13748,37,407952.52225519286
40,4717,37,91061.77606177607
40,1875,37,365497.0760233918
40,9369,37,113978.10218978103
40,3176,37,749056.6037735849
42,17282,37,512818.99109792284
42,4334,37,83667.95366795367
42,2349,37,457894.7368421053
42,10224,37,124379.56204379562
42,4052,37,955660.3773584906
44,13482,37,400059.3471810089
44,4222,37,81505.79150579151
44,2143,37,417738.79142300197
44,9142,37,111216.54501216546
44,3272,37,771698.1132075472
46,10497,37,311483.6795252226
46,3882,37,74942.08494208494
46,1734,37,338011.69590643275
46,7668,37,93284.67153284673
46,2247,37,529952.8301886793
48,8615,37,255637.9821958457
48,3717,37,71756.75675675676
48,1468,37,286159.8440545809
48,6478,37,78807.78588807787
48,1785,37,420990.56603773584
